,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,Week
114,美國,冰雪奇緣2,2019/11/21,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",84,"13,045",-65.53%,"3,179,462",1449532,"336,567,317",20200106
52,美國,小丑,2019/10/3,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,10,"2,198",-35.96%,"178,860",1389255,"331,001,885",20200106
430,美國,獅子王,2019/7/17,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",2,350,1.16%,"27,150",1320356,"314,895,682",20200106
197,中華民國,返校,2019/9/20,影一製作所股份有限公司,影一製作所股份有限公司##遊戲橘子數位科技股份有限公司##英屬維京群島商敦宜股份有限公司台灣分公司##樂到家國際娛樂股份有限公司##一條龍虎豹國際娛樂有限公司##財團法人臺中市影視發展基金會##高雄市電影館##美商華納兄弟（遠東）股份有限公司台灣分公司,9,"2,556",-18.29%,"203,975",1120671,"260,058,735",20200106
438,香港,葉問4：完結篇,2019/12/19,華映娛樂股份有限公司,東方影業出品有限公司,95,"63,159",-65.24%,"14,671,736",806294,"170,517,513",20200106
348,美國,野蠻遊戲：全面晉級,2019/12/4,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,89,"16,926",-64.83%,"3,982,228",806110,"184,752,080",20200106
61,日本,天氣之子,2019/9/12,車庫娛樂股份有限公司,"TOHO CO., LTD.",1,12,0.00%,"5,534",691476,"164,859,605",20200106
110,美國,全面攻佔3: 天使救援,2019/8/21,海樂影業股份有限公司,"NU IMAGE,INC.",2,118,-62.78%,"6,865",637153,"147,432,557",20200106
311,南韓,寄生上流,2019/6/28,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,CJ ENM CO. LTD,3,185,0.00%,"42,790",629945,"146,155,448",20200106
409,美國,黑魔女2,2019/10/17,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",7,"1,499",18637.50%,"96,570",589257,"137,251,521",20200106
