序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,Week
61,美國,冰雪奇緣2,2019/11/21,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",23,848,-78.97%,"199,754","1,449,532","343,420,673",20200203
52,美國,冰雪奇緣2,2019/11/21,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",42,"4,032",-56.56%,"958,031","1,448,684","343,220,919",20200127
55,美國,冰雪奇緣2,2019/11/21,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",71,"9,276",-37.66%,"2,200,551","1,444,646","342,261,648",20200120
64,美國,冰雪奇緣2,2019/11/21,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",84,"14,879",14.06%,"3,493,780","1,435,370","340,061,097",20200113
64,美國,冰雪奇緣2,2019/11/21,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",84,"13,045",-65.53%,"3,179,462","1,420,491","336,567,317",20200106
76,美國,小丑,2019/10/3,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,18,532,254.67%,"133,765","1,389,255","331,325,515",20200203
67,美國,小丑,2019/10/3,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,3,150,-74.92%,"14,440","1,388,723","331,191,750",20200127
83,美國,小丑,2019/10/3,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,6,598,-64.11%,"44,405","1,388,573","331,177,310",20200120
92,美國,小丑,2019/10/3,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,9,"1,666",-24.20%,"131,020","1,387,975","331,132,905",20200113
93,美國,小丑,2019/10/3,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,10,"2,198",-35.96%,"178,860","1,386,309","331,001,885",20200106
