國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month,tmax,mmax
俄羅斯,遺落夢境,2020/09/30,車庫娛樂股份有限公司,RELAY MOTION KFT.,50,"11,146",-54.73%,"2,662,931","39,168","9,403,627",20201005,10,39168.0,9403627.0
俄羅斯,末日異戰,2020/04/17,車庫娛樂股份有限公司,ART PICTURES DISTRIBUTION LLC,51,"6,682",-15.46%,"1,555,077","19,400","4,535,829",20200420,4,19400.0,4535829.0
俄羅斯,失控特工,2020/06/19,可樂藝術文創股份有限公司,Central Partnership Sales House,45,"6,233",13.87%,"1,449,770","18,999","3,561,260",20200622,6,18999.0,3561260.0
俄羅斯,黑暗戰域,2020/05/08,車庫娛樂股份有限公司,CENTRAL PARTNERSHIP SALES HOUSE,53,"4,916",-7.72%,"1,140,519","11,891","2,747,095",20200511,5,11891.0,2747095.0
俄羅斯,外星異種,2020/11/27,車庫娛樂股份有限公司,RELAY MOTION KFT.,50,"3,953",-44.01%,"915,323","11,430","2,686,396",20201130,11,11430.0,2686396.0
俄羅斯,陰兒,2020/01/03,可樂藝術文創股份有限公司,REASON8 Films Ltd.,17,892,-12.03%,"196,735","2,147","472,820",20200106,1,2147.0,472820.0
俄羅斯,罪：米開朗基羅,2020/04/17,佳映娛樂國際股份有限公司,ARRI Media GmbH,9,526,14.85%,"109,800","1,705","352,180",20200420,4,1705.0,352180.0
俄羅斯,絕殺慕尼黑,2020/06/05,車庫娛樂股份有限公司,"WANDA MEDIA CO., LTD.",22,544,-4.73%,"120,638","1,232","274,347",20200608,6,1232.0,274347.0
俄羅斯,飢俄人妻,2020/08/28,車庫娛樂股份有限公司,M-APPEAL WORLD SALES,15,454,-2.58%,"93,990",989,"204,209",20200831,8,989.0,204209.0
俄羅斯,岳父受死吧,2020/01/23,麻吉砥加電影有限公司,REEL SUSPECTS S.A.R.L.,11,151,15.27%,"35,286",320,"72,939",20200127,1,320.0,72939.0
