國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month,tmax,mmax
南韓,屍速列車：感染半島,2020/07/15,車庫娛樂股份有限公司,CONTENTS PANDA,61,"457,166",-19.13%,"113,349,275","1,434,527","356,348,484",20200720,7,1434527.0,356348484.0
南韓,翻供,2020/07/22,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,93,"45,606",30.80%,"10,527,288","162,945","37,016,244",20200727,7,162945.0,37016244.0
南韓,"超""人""氣動物園",2020/02/14,車庫娛樂股份有限公司,"FINECUT CO., LTD.",65,"52,942",-5.29%,"12,307,327","139,408","32,522,116",20200217,2,139408.0,32522116.0
南韓,特務搞飛機,2020/09/11,采昌國際多媒體股份有限公司,FREEWAY ENTERTAINMENT KFT.,63,"37,463",23.03%,"8,795,843","113,048","26,652,548",20200914,9,113048.0,26652548.0
南韓,鋼鐵雨：深潛行動,2020/07/29,香港商甲上娛樂有限公司台灣分公司,"LOTTE CULTUREWORKS CO., LTD.",92,"28,212",-23.40%,"6,461,817","87,484","19,544,974",20200803,8,87484.0,19544974.0
南韓,整容液,2020/09/18,采昌國際多媒體股份有限公司,FREEWAY ENTERTAINMENT KFT.,60,"24,609",17.81%,"5,872,740","68,214","16,322,971",20200921,9,68214.0,16322971.0
南韓,大畫特務,2020/03/06,香港商甲上娛樂有限公司台灣分公司,"LOTTE CULTUREWORKS CO., LTD.",90,"19,585",-12.12%,"4,494,008","53,329","11,927,165",20200309,3,53329.0,11927165.0
南韓,魔鬼對決,2020/08/12,采昌國際多媒體股份有限公司,FREEWAY ENTERTAINMENT KFT.,84,"15,164",-9.73%,"3,544,390","37,977","8,867,441",20200817,8,37977.0,8867441.0
南韓,詭妹,2020/06/05,車庫娛樂股份有限公司,RELAY MOTION KFT.,52,"12,651",46.44%,"3,013,603","35,885","8,583,931",20200608,6,35885.0,8583931.0
南韓,無價之保,2020/10/08,英屬維京群島商高捷全球開發有限公司 台灣分公司,"CJ ENM CO., LTD",53,"5,045",-51.11%,"1,174,835","31,036","7,096,737",20201019,10,31036.0,7096737.0
南韓,陰櫥,2020/02/21,車庫娛樂股份有限公司,"CJ ENM CO., LTD.",48,"12,797",-10.69%,"2,996,107","30,277","7,112,535",20200224,2,30277.0,7112535.0
南韓,盜墓同盟,2020/11/20,英屬維京群島商高捷全球開發有限公司 台灣分公司,"CJ ENM CO., LTD",55,"11,594",-4.78%,"2,701,416","28,560","6,675,633",20201123,11,28560.0,6675633.0
南韓,紅鞋公主與七矮人,2020/01/30,可樂藝術文創股份有限公司,"FINECUT CO., LTD",44,"7,314",-13.52%,"1,690,822","28,176","5,515,392",20200203,2,28176.0,5515392.0
南韓,BREAK THE SILENCE: THE MOVIE,2020/09/10,威秀影城股份有限公司,Trafalgar Releasing Limited,16,"4,420",-76.46%,"1,700,780","23,444","9,078,720",20200914,9,23444.0,9078720.0
南韓,明明會說話,2020/03/06,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,LittleBig Pictures,77,"7,705",-22.66%,"1,703,767","21,068","4,570,856",20200309,3,21068.0,4570856.0
南韓,靈異405號房,2020/05/15,車庫娛樂股份有限公司,CONTENTS PANDA,52,"6,949",6.73%,"1,654,448","19,819","4,718,477",20200518,5,19819.0,4718477.0
南韓,刑警沒有假期,2020/10/08,車庫娛樂股份有限公司,SHOWBOX CORP.,53,"4,796",-55.89%,"1,090,996","17,152","4,002,265",20201012,10,17152.0,4002265.0
南韓,抓住救命稻草的野獸們,2020/03/27,薩摩亞商雄讚股份有限公司台灣分公司,M-Line Distribution Corportation,75,"6,251",4.57%,"1,400,644","15,299","3,418,662",20200330,3,15299.0,3418662.0
南韓,魔王的女兒,2020/07/24,水元素文化傳媒有限公司,M-LINE DISTRIBUTION,60,"3,680",-23.92%,"806,537","10,762","2,280,126",20200727,7,10762.0,2280126.0
南韓,流感,2020/04/30,車庫娛樂股份有限公司,RELAY MOTION KFT.,36,"3,406",-8.24%,"785,836","9,941","2,291,466",20200504,5,9941.0,2291466.0
