國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month,tmax,mmax
德國,北海小英雄,2020/07/31,華映娛樂股份有限公司,Studio 100 film,83,"13,472",-8.68%,"2,998,101","49,648","10,708,939",20200803,8,49648.0,10708939.0
德國,抽屍剝繭,2020/04/30,海鵬影業有限公司,GLOBAL SCREEN GMBH,56,"4,182",10.78%,"926,927","13,616","3,012,643",20200504,5,13616.0,3012643.0
德國,親愛陌生人,2020/06/12,鴻聯國際開發股份有限公司,Constantin Film Verleih GmbH,22,"1,479",15.64%,"336,058","7,997","1,062,821",20200615,6,7997.0,1062821.0
德國,里斯本的故事,2020/07/10,香港商甲上娛樂有限公司台灣分公司,HANWAY FILMS LIMITED,14,"2,005",26.10%,"435,930","5,979","1,306,978",20200713,7,5979.0,1306978.0
德國,罪人的控訴,2020/05/29,海鵬影業有限公司,TELEPOOL GmbH,25,"2,214",2.36%,"494,958","5,894","1,314,707",20200601,6,5894.0,1314707.0
德國,交響狂人,2020/09/30,海鵬影業有限公司,TELEPOOL GmbH,17,"1,134",-32.22%,"236,532","3,520","736,361",20201005,10,3520.0,736361.0
德國,巴亞拉魔幻冒險,2020/08/07,海鵬影業有限公司,GLOBAL SCREEN GMBH,31,"1,272",-15.48%,"287,611","3,230","732,877",20200810,8,3230.0,732877.0
德國,蘿莉破壞王,2020/09/11,鴻聯國際開發股份有限公司,Beta Cinema GmbH,8,769,17.40%,"166,105","3,111","542,455",20200914,9,3111.0,542455.0
德國,金魚俱樂部,2020/06/12,海鵬影業有限公司,Beta Cinema GmbH,18,"1,143",20.32%,"245,825","2,749","593,018",20200615,6,2749.0,593018.0
德國,失眠的北風吹來愛情,2020/07/31,海鵬影業有限公司,Beta Cinema GmbH,19,"1,013",-0.69%,"215,696","2,581","551,777",20200803,8,2581.0,551777.0
德國,無聲革命,2020/04/24,捷傑有限公司,STUDIOCANAL,15,513,44.10%,"112,081","1,252","267,059",20200427,4,1252.0,267059.0
德國,馬丁伊登,2020/04/01,海鵬影業有限公司,The Match Factory,12,351,-40.61%,"70,912","1,115","223,414",20200406,4,1115.0,223414.0
德國,不愛鋼琴師,2020/03/20,光年映畫有限公司,Beta Cinema GmbH,6,369,27.24%,"78,610",989,"207,265",20200323,3,989.0,207265.0
德國,情攝大師,2020/12/04,前景娛樂有限公司,MK2 FILMS,10,356,52.79%,"77,485",924,"211,753",20201207,12,924.0,211753.0
德國,尋愛夢工廠,2020/02/14,車庫娛樂股份有限公司,PICTURE TREE INTERNATIONAL GMBH,14,397,-4.11%,"83,260",833,"177,279",20200217,2,833.0,177279.0
德國,鬼才狂想曲,2020/11/13,車庫娛樂股份有限公司,CELLULOID DREAMS SAS,3,16,-96.75%,"2,895",588,"129,455",20201116,11,588.0,129455.0
德國,閉嘴！彈琴,2020/05/08,前景娛樂有限公司,CHARADES,13,222,48.99%,"49,508",544,"103,981",20200511,5,544.0,103981.0
德國,彼得漢德克：我在森林，晚一點到,2020/06/19,佳映娛樂國際股份有限公司,The Match Factory GmbH,4,224,133.33%,"46,965",423,"88,890",20200622,6,423.0,88890.0
德國,未來的我們,2020/11/27,好威映象有限公司,m-appeal,8,191,43.61%,"41,025",352,"75,783",20201130,11,352.0,75783.0
德國,行動代號：熱狗,2020/12/11,車庫娛樂股份有限公司,PICTURE TREE INTERNATIONAL GMBH,3,50,-28.57%,"11,820",122,"28,105",20201214,12,122.0,28105.0
