國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month,tmax,mmax
日本,鬼滅之刃劇場版 無限列車篇,2020/10/30,木棉花國際股份有限公司,Aniplex Inc.,95,"657,115",33.67%,"157,767,910","2,486,321","598,345,639",20201102,11,2486321.0,598345639.0
日本,角落小夥伴電影版：魔法繪本裡的新朋友,2020/07/03,威視股份有限公司,"ASMIK ACE, INC.",64,"74,151","8,931.79%","17,602,936","344,057","80,228,661",20200706,7,344057.0,80228661.0
日本,電影哆啦A夢：大雄的新恐龍,2020/09/25,車庫娛樂股份有限公司,"TOHO CO., LTD.",56,"59,688",76.55%,"14,051,575","158,540","37,208,690",20200928,9,158540.0,37208690.0
日本,紫羅蘭永恆花園電影版,2020/09/30,采昌國際多媒體股份有限公司,"ABC Animation,INC.",42,"29,229",-40.88%,"7,289,679","108,818","27,083,538",20201005,10,108818.0,27083538.0
日本,名偵探柯南：紅之校外旅行 鮮紅篇&戀紅篇,2020/11/20,曼迪傳播有限公司,YOMIURI TELECASTING CORPORATION,58,"30,806",-13.04%,"7,285,186","102,866","24,519,277",20201123,11,102866.0,24519277.0
日本,數碼寶貝 LAST EVOLUTION 絆,2020/04/24,曼迪傳播有限公司,"TOEI ANIMATION CO., LTD.",16,"21,732",152.70%,"5,535,013","102,448","26,093,972",20200427,4,102448.0,26093972.0
日本,Fate_stay night [Heaven's Feel] Ⅲ春櫻之歌,2020/08/15,曼迪傳播有限公司,Aniplex Inc.,18,"32,937",17.99%,"8,463,234","91,999","25,335,244",20200817,8,91999.0,25335244.0
日本,蠟筆小新電影 激戰!塗鴉王國與差不多四勇者,2020/09/11,木棉花國際股份有限公司,ADK EMOTIOS INC.,57,"19,574",-21.63%,"4,504,448","71,161","16,303,755",20200914,9,71161.0,16303755.0
日本,我的英雄學院劇場版：英雄新世紀,2020/04/01,薩摩亞商羚邦(亞洲)有限公司台灣分公司,"Toho Co., Ltd.",68,"13,632",-41.27%,"3,211,734","65,208","15,965,594",20200406,4,65208.0,15965594.0
日本,尋找小魔女Doremi,2020/11/27,薩摩亞商雄讚股份有限公司台灣分公司,"TOEI ANIMATION CO., LTD.",83,"20,936",-7.17%,"4,924,059","59,024","13,961,060",20201130,11,59024.0,13961060.0
日本,阿基拉,2020/06/24,車庫娛樂股份有限公司,RELAY MOTION KFT.,36,"8,684",-30.34%,"2,540,857","44,635","12,800,173",20200706,7,44635.0,12800173.0
日本,藍色恐懼：數位修復版,2020/07/17,光年映畫有限公司,MADHOUSE Inc.,32,"13,086",94.47%,"3,105,612","38,125","9,035,306",20200720,7,38125.0,9035306.0
日本,新解釋．三國志,2020/12/11,車庫娛樂股份有限公司,RELAY MOTION KFT.,54,"11,044",-22.25%,"2,627,648","32,756","7,885,429",20201214,12,32756.0,7885429.0
日本,犬鳴村,2020/04/01,車庫娛樂股份有限公司,"TOEI COMPANY, LTD.",50,"8,596",-43.96%,"2,025,251","31,510","7,393,127",20200406,4,31510.0,7393127.0
日本,工作細胞!!特別上映版 強『菌』來襲！人體腸道大騷動!,2020/10/08,木棉花國際股份有限公司,KODANSHA LTD.,62,"8,634",-43.56%,"2,005,804","31,463","7,266,097",20201012,10,31463.0,7266097.0
日本,鳴鳥不飛：烏雲密布,2020/02/27,采昌國際多媒體股份有限公司,SPO Entertainment Inc.,13,"9,097",-15.80%,"2,227,076","28,962","7,037,058",20200302,3,28962.0,7037058.0
日本,來自深淵 深沉靈魂的黎明,2020/04/10,向洋影業有限公司,株式会社KADOKAWA,18,"6,344",12.30%,"1,582,571","24,302","6,771,730",20200413,4,24302.0,6771730.0
日本,哥布林殺手：GOBLIN'S CROWN,2020/02/27,木棉花國際股份有限公司,Hakuhodo DY music & pictures Inc.,31,"5,492",-64.31%,"1,301,543","23,356","5,554,926",20200302,3,23356.0,5554926.0
日本,信用詐欺師JP:公主篇,2020/12/11,海樂影業股份有限公司,PONY CANYON INC.,46,"8,534",-0.74%,"2,008,760","22,812","5,422,654",20201214,12,22812.0,5422654.0
日本,巧虎電影 英雄遊樂園,2020/01/17,全民大劇團股份有限公司,法人倍樂生株式會社,17,"5,268",-13.50%,"1,263,118","22,507","5,342,557",20200120,1,22507.0,5342557.0
