國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month,tmax,mmax
法國,森林特攻隊：大腳丫家族,2020/09/30,可樂藝術文創股份有限公司,Charades,73,"5,648",-55.67%,"1,223,032","25,042","5,137,584",20201005,10,25042.0,5137584.0
法國,美好拾光公司,2020/04/24,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Pathe Films S.A.S.,28,"2,687",50.11%,"612,775","15,642","2,671,973",20200427,4,15642.0,2671973.0
法國,高盧英雄歷險記：魔法藥水,2020/08/21,車庫娛樂股份有限公司,RELAY MOTION KFT.,43,"5,814",38.96%,"1,330,783","12,616","2,990,799",20200824,8,12616.0,2990799.0
法國,退休大贏家,2020/09/04,海鵬影業有限公司,SOCIETE NOUVELLE DE DISTRIBUTION,19,431,-75.29%,"87,930","4,202","869,000",20200914,9,4202.0,869000.0
法國,巴黎寂寞不打烊,2020/05/22,海樂影業股份有限公司,STUDIOCANAL,27,"1,212",4.48%,"263,292","4,152","764,406",20200525,5,4152.0,764406.0
法國,迷雁返家路,2020/03/27,可樂藝術文創股份有限公司,Société Nouvelle de Distribution (SND),33,701,-21.15%,"151,349","3,914","567,298",20200330,3,3914.0,567298.0
法國,真實,2020/04/10,車庫娛樂股份有限公司,GAGA CORPORATION,37,"1,372",12.74%,"301,374","3,523","761,221",20200413,4,3523.0,761221.0
法國,陪你玩最大,2020/05/08,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Pathé Films S.A.S,36,"1,214",18.44%,"272,486","3,522","677,365",20200511,5,3522.0,677365.0
法國,悲慘世界,2020/02/21,海鵬影業有限公司,WILD BUNCH,13,"1,185",16.86%,"254,756","3,213","687,448",20200224,2,3213.0,687448.0
法國,我出去醫下,2020/03/20,原創娛樂股份有限公司,Other Angle Pictures,32,"1,078",-10.61%,"239,237","2,885","594,318",20200323,3,2885.0,594318.0
法國,導演先生的完美假期,2020/03/06,繁盛映畫有限公司,Wild Bunch,11,"1,198",36.45%,"255,906","2,885","614,942",20200309,3,2885.0,614942.0
法國,超能西蒙的奇幻旅程,2020/07/03,本萃電影有限公司,PULSAR CONTENT SAS,17,634,18.50%,"145,557","2,483","398,182",20200706,7,2483.0,398182.0
法國,85年的夏天,2020/12/18,好威映象有限公司,Playtime,18,"1,128",34.61%,"249,135","2,416","536,387",20201221,12,2416.0,536387.0
法國,吞噬,2020/04/24,本萃電影有限公司,CHARADES,30,687,-25.57%,"157,803","2,394","483,423",20200427,4,2394.0,483423.0
法國,在你身邊,2020/05/22,車庫娛樂股份有限公司,GAUMONT S.A.,39,"1,171",9.24%,"265,001","2,393","546,353",20200525,5,2393.0,546353.0
法國,緣來想見妳,2020/04/24,采昌國際多媒體股份有限公司,GAUMONT S.A.,52,870,-11.68%,"190,637","2,117","462,089",20200427,4,2117.0,462089.0
法國,綠光 經典數位修復,2020/07/11,天馬行空數位有限公司,LES FILMS DU LOSANGE,10,637,286.06%,"137,504","2,080","443,299",20200713,7,2080.0,443299.0
法國,藥頭大媽,2020/10/16,原創娛樂股份有限公司,Le Pacte,13,686,-6.03%,"151,423","2,008","404,808",20201019,10,2008.0,404808.0
法國,完美嬌妻養成班,2020/09/04,原創娛樂股份有限公司,Memento Films International,10,44,-89.72%,"9,960","1,776","303,880",20200914,9,1776.0,303880.0
法國,咒冥曲,2020/07/24,天馬行空數位有限公司,ARRI Media GmbH.,17,715,-26.21%,"166,241","1,737","409,586",20200727,7,1737.0,409586.0
