國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month,tmax,mmax
泰國,淒厲人僧,2020/04/24,威視股份有限公司,FIVE STAR PRODUCTION COMPANY LIMITED,56,432,0.00%,"28,690","31,289","6,945,065",20200810,8,31289.0,6945065.0
泰國,見鬼的戀愛季節,2020/04/30,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Sahamongkolfilm International Co.,Ltd.",62,"7,213",3.55%,"1,619,355","26,854","5,902,119",20200504,5,26854.0,5902119.0
泰國,鬼侍女,2020/07/03,海樂影業股份有限公司,"Hollywood (Thailand) Co.,Ltd",57,"8,967",20.48%,"2,012,304","23,599","5,199,801",20200706,7,23599.0,5199801.0
泰國,奇蹟救援,2020/05/15,車庫娛樂股份有限公司,E-STARS FILMS LTD.,49,"4,741",7.63%,"1,113,733","11,526","2,695,664",20200518,5,11526.0,2695664.0
泰國,淒厲人僧 前傳,2020/07/24,海樂影業股份有限公司,Five Star Production Company Limited,64,"3,851",-16.41%,"826,038","10,009","2,060,803",20200727,7,10009.0,2060803.0
泰國,娘娘腔日記,2020/02/27,車庫娛樂股份有限公司,GDH 559 COMPANY LIMITED,35,"2,464",-45.22%,"562,476","7,491","1,727,346",20200302,3,7491.0,1727346.0
泰國,就愛斷捨離,2020/02/14,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,GDH 559 COMPANY LIMITED,28,"2,247",-14.76%,"513,707","6,003","1,318,146",20200217,2,6003.0,1318146.0
泰國,通靈少年2020,2020/03/13,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Sahamongkolfilm International Co., Ltd.",46,"1,969",-8.33%,"424,151","4,527","978,058",20200316,3,4527.0,978058.0
泰國,這一次不再錯過你,2020/01/03,傳影互動股份有限公司,"CJ ENM CO.,LTD",24,"1,391",-28.67%,"314,702","3,634","828,661",20200106,1,3634.0,828661.0
泰國,冤鴦大盜,2020/04/01,英屬維京群島商高捷全球開發有限公司 台灣分公司,Mono Film Company Limited,40,610,-59.01%,"134,678","2,264","495,417",20200406,4,2264.0,495417.0
泰國,愛回來的那7天,2020/07/31,車庫娛樂股份有限公司,"SAHAMONGKOLFILM INTERNATIONAL CO., LTD.",3,32,-38.46%,"7,225",90,"19,900",20200803,8,90.0,19900.0
