國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month,tmax,mmax
英國,祕密花園,2020/07/08,車庫娛樂股份有限公司,STUDIOCANAL,57,"5,516",-30.16%,"1,281,384","15,890","3,683,552",20200713,7,15890.0,3683552.0
英國,大監獄行動,2020/01/10,台北双喜電影發行股份有限公司,Media Film International,39,"5,429",-20.16%,"1,194,183","13,384","2,954,830",20200113,1,13384.0,2954830.0
英國,晚班,2020/06/12,威秀影城股份有限公司,CtrlMovie,3,"1,959",58.75%,"492,630","10,406","2,583,270",20200615,6,10406.0,2583270.0
英國,玩命Online：雙槍對決,2020/06/24,捷傑有限公司,Altitude Film Sales Limited,32,"2,273",-54.27%,"509,573","9,299","1,923,498",20200629,6,9299.0,1923498.0
英國,下一站，托斯卡尼,2020/08/21,采昌國際多媒體股份有限公司,HANWAY FILMS LIMITED,54,"3,205",-9.79%,"715,045","7,764","1,721,663",20200824,8,7764.0,1721663.0
英國,皮諾丘的奇幻旅程,2020/09/18,海鵬影業有限公司,HANWAY FILMS LIMTED,31,"2,649",-13.03%,"596,063","7,736","1,631,393",20200921,9,7736.0,1631393.0
英國,決戰最前線,2020/06/12,天馬行空數位有限公司,METRO INTERNATIONAL ENTERTAINMENT LIMITED,24,"1,197",-16.24%,"271,517","6,698","925,692",20200615,6,6698.0,925692.0
英國,愛美獎行動,2020/05/29,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"Pathe Fund Limited, acting through its division Pathe International",58,"1,859",-28.83%,"426,013","5,710","1,227,391",20200601,6,5710.0,1227391.0
英國,教會,2020/09/11,香港商甲上娛樂有限公司台灣分公司,GOLDCREST FILMS INTERNATIONAL LIMITED,3,74,-55.15%,"16,150","5,460","1,198,839",20201012,10,5460.0,1198839.0
英國,居禮夫人：放射永恆,2020/04/17,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Studiocanal,26,"1,669",1.27%,"372,794","5,291","1,053,937",20200420,4,5291.0,1053937.0
英國,烈火情人,2020/06/05,香港商甲上娛樂有限公司台灣分公司,HANWAY FILMS LIMITED,25,"1,943",5.14%,"435,128","4,770","1,063,292",20200608,6,4770.0,1063292.0
英國,戀夏時光,2020/07/24,威視股份有限公司,EMBANKMENT FILMS LIMITED,22,"1,394",8.65%,"321,085","4,689","867,401",20200727,7,4689.0,867401.0
英國,狄更斯之塊肉餘生記,2020/10/30,車庫娛樂股份有限公司,GEM ENTERTAINMENT KFT.,43,"1,667",-22.93%,"369,261","4,288","975,653",20201102,11,4288.0,975653.0
英國,來者弒客,2020/12/24,車庫娛樂股份有限公司,VERSATILE,33,"1,211",-51.29%,"270,444","3,697","841,123",20201228,12,3697.0,841123.0
英國,海邊走走,2020/05/15,天馬行空數位有限公司,PROTAGONIST PICTURES LIMITED,17,"1,226",20.43%,"268,589","3,365","686,125",20200518,5,3365.0,686125.0
英國,美麗佳人歐蘭朵 跨世紀重映,2020/08/28,水元素文化傳媒有限公司,Hanway Films Limited,16,"1,138",67.85%,"250,355","3,277","658,293",20200831,8,3277.0,658293.0
英國,謊畫情人,2020/05/22,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,HANWAY FILMS LIMITED,27,"1,110",-2.03%,"247,019","3,207","603,458",20200525,5,3207.0,603458.0
英國,愛是您·愛是我,2020/12/24,東昊影業有限公司,Studiocanal S.A.S,14,"1,000",-40.12%,"226,096","2,670","640,199",20201228,12,2670.0,640199.0
英國,訂製幸福滋味,2020/09/11,春暉映像有限公司,Film Seekers Limited,14,573,4.56%,"122,910","2,351","387,802",20200914,9,2351.0,387802.0
英國,普立茲記者,2020/06/12,聯影企業股份有限公司,WESTEND FILMS LTD,16,982,19.90%,"211,355","2,332","504,719",20200615,6,2332.0,504719.0
