國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month,tmax,mmax
西班牙,馬拉薩尼亞32號陰宅,2020/08/28,車庫娛樂股份有限公司,RELAY MOTION KFT.,49,"5,584",-43.57%,"1,311,715","16,611","3,937,749",20200831,8,16611.0,3937749.0
西班牙,逃出天堂島,2020/01/10,海樂影業股份有限公司,GEM ENTERTAINMENT KFT.,48,"2,497",-19.89%,"557,085","7,572","1,471,547",20200113,1,7572.0,1471547.0
西班牙,絕命大平台,2020/02/21,原創娛樂股份有限公司,Latido Consorcio De Exportacion Del Cine Espanol SL,17,"2,736",-21.36%,"598,586","7,269","1,606,463",20200224,2,7269.0,1606463.0
西班牙,放飛大丈夫,2020/05/29,采昌國際多媒體股份有限公司,"TELECINCO CINEMA, S.A.U.",39,"2,343",2.05%,"528,582","5,672","1,299,657",20200601,6,5672.0,1299657.0
西班牙,搭火車旅行好吃驚,2020/04/24,天馬行空數位有限公司,SEVILLE PICTURES INC.,14,964,27.51%,"211,140","2,748","602,570",20200427,4,2748.0,602570.0
西班牙,奪魂索,2020/05/29,水元素文化傳媒有限公司,Reel Suspects,37,951,-17.23%,"199,718","2,389","503,386",20200601,6,2389.0,503386.0
西班牙,靈異孤兒院,2020/04/24,車庫娛樂股份有限公司,(法國)WILD BUNCH,18,647,4.86%,"152,038","1,695","398,907",20200427,4,1695.0,398907.0
西班牙,悄悄告訴她 經典數位修復,2020/10/30,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS,14,351,62.50%,"77,302",847,"180,920",20201102,11,847.0,180920.0
西班牙,高跟鞋 經典數位修復,2020/10/30,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS,13,284,-19.32%,"59,475",843,"176,499",20201102,11,843.0,176499.0
西班牙,玩美女人 經典數位修復,2020/10/30,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS,14,289,125.78%,"60,085",688,"144,040",20201102,11,688.0,144040.0
西班牙,壞教慾 經典數位修復,2020/10/30,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS,14,328,129.37%,"70,365",686,"146,333",20201102,11,686.0,146333.0
西班牙,破碎的擁抱 經典數位修復,2020/10/30,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS,13,197,61.48%,"41,155",549,"113,386",20201102,11,549.0,113386.0
西班牙,宅在瘟疫蔓延時,2020/11/13,天馬行空數位有限公司,LATIDO CONSORCIO DE EXPORTATION DEL CINE ESPANOL SL,11,114,-15.56%,"23,290",249,"52,106",20201116,11,249.0,52106.0
西班牙,放逐到詩的盡頭,2020/9/4,社團法人台灣電影文化協會,Atera Films,1,63,0.00%,"10,420",63,"10,420",20200907,9,63.0,10420.0
