國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month,tmax,mmax
香港,肥龍過江,2020/01/23,華映娛樂股份有限公司,星王朝有限公司##上海博納文化傳媒有限公司##博納影業集團股份有限公司##上海新文化影業有限公司##電視廣播有限公司##太陽娛樂文化有限公司##上海杠杠影視文化有限公司##霍爾果斯環星影視傳媒有限公司##上海優創影視文化有限公司,94,"28,320",0.02%,"6,263,943","62,116","13,618,157",20200127,1,62116.0,13618157.0
香港,麥路人,2020/09/17,華映娛樂股份有限公司,寰亞電影製作有限公司##無限動力實業有限公司##北京拉近影業有限公司##寰亞電影發行(北京）有限公司##中影寰亞音像製品有限公司##墨客行影業（北京）有限公司##雅美星有限公司##霍爾果斯泰洋川禾文化傳媒有限公司##百代環球(北京)國際資產管理有限公司##北京林夕影業有限公司##北京大美寰宇影業有限公司##星光聯盟影業無錫有限公司,59,"5,453",-26.74%,"1,228,278","18,450","3,922,036",20200921,9,18450.0,3922036.0
香港,死因無可疑,2020/07/03,華映娛樂股份有限公司,英皇影業有限公司,47,"5,717",6.74%,"1,330,922","15,050","3,317,387",20200706,7,15050.0,3317387.0
香港,東邪西毒：終極版,2020/06/19,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,春光映畫(Block 2 Pictures Inc.)##學者股份有限公司,27,"1,904",32.78%,"450,186","4,793","1,137,029",20200622,6,4793.0,1137029.0
香港,幻愛,2020/10/15,光年映畫有限公司,Golden Scene Company Limited##英爾有限公司,15,"1,205",-2.51%,"273,917","4,123","943,613",20201019,10,4123.0,943613.0
香港,金都,2020/05/08,采昌國際多媒體股份有限公司,金都電影製作有限公司My Prince Edward Film Production Limited,32,"1,615",38.27%,"355,089","3,684","810,226",20200511,5,3684.0,810226.0
香港,熱血合唱團,2020/12/04,台北双喜電影發行股份有限公司,博納影視娛樂有限公司 	 ##博納影業集團股份有限公司##上海博納文化傳媒有限公司##双喜電影發行(北京)有限公司##夢造者娛樂有限公司,47,"1,449",-3.66%,"327,418","3,452","788,510",20201207,12,3452.0,788510.0
香港,無間行者之生死潛行,2020/11/27,華映娛樂股份有限公司,寰宇娛樂有限公司##深圳豆角映像影視文化傳媒有限公司##寰宇縱橫世紀電影發行（北京）有限公司##寰宇影片發行有限公司,21,"1,173",-23.83%,"263,757","2,897","654,333",20201130,11,2897.0,654333.0
香港,叔．叔,2020/02/27,采昌國際多媒體股份有限公司,先響電影有限公司New Voice Film Productions Ltd,11,"1,027",-16.09%,"231,748","2,799","620,666",20200302,3,2799.0,620666.0
香港,聖荷西謀殺案,2020/10/30,華映娛樂股份有限公司,英皇影業有限公司##耳東文化(北京)有限公司##北京佟悅名新文化傳媒有限公司,21,639,-35.65%,"140,899","2,241","430,016",20201102,11,2241.0,430016.0
香港,逃獄兄弟,2020/12/11,華映娛樂股份有限公司,東方影業出品有限公司##本地製作有限公司,21,613,-34.58%,"135,255","1,627","358,981",20201214,12,1627.0,358981.0
香港,夜半歌聲,2020/06/05,華映娛樂股份有限公司,綺年電影有限公司,17,140,-74.64%,"32,158","1,537","340,341",20200615,6,1537.0,340341.0
香港,獅子山上,2020/10/23,捷傑有限公司,One Punch Company Limited,12,211,-45.19%,"46,270",602,"133,375",20201026,10,602.0,133375.0
