國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month,tcnt,月累計票房
中華民國,女鬼橋,2020/02/27,星泰國際娛樂股份有限公司,樂到家國際娛樂股份有限公司##天馬傳播事業有限公司##得藝文創國際股份有限公司##大慕影藝國際事業股份有限公司##氧氣電影有限公司##華映娛樂股份有限公司##海樂影業股份有限公司,86,"77,840",-21.42%,"18,004,134","177,652","41,064,944",20200302,3,149673.0,"149,673"
美國,隱形人,2020/02/27,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,98,"76,259",2.46%,"18,178,435","150,684","35,887,569",20200302,3,144481.0,"144,481"
美國,血衛,2020/03/12,薩摩亞商雄讚股份有限公司台灣分公司,"Bona Film Investment Company (Pacific RIM, USA)",99,"75,727",-42.99%,"18,052,155","208,557","49,818,165",20200316,3,117828.0,"117,828"
美國,極地守護犬,2020/02/27,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",89,"21,966",-40.24%,"4,904,931","58,725","13,154,638",20200302,3,34472.0,"34,472"
南韓,大畫特務,2020/03/06,香港商甲上娛樂有限公司台灣分公司,"LOTTE CULTUREWORKS CO., LTD.",90,"19,585",-12.12%,"4,494,008","41,872","9,612,421",20200309,3,29212.0,"29,212"
中華民國,練愛iNG,2020/03/13,威視股份有限公司,量能文創股份有限公司##聚善美文創娛樂有限公司##遊戲橘子數位科技股份有限公司##恆動工作室##天鵬翱翔集團有限公司,60,"13,947",14.59%,"3,205,641","26,118","6,059,057",20200316,3,24521.0,"24,521"
日本,鳴鳥不飛：烏雲密布,2020/02/27,采昌國際多媒體股份有限公司,SPO Entertainment Inc.,12,"9,097",-15.80%,"2,227,076","19,901","4,813,448",20200302,3,17397.0,"17,397"
美國,音速小子,2020/02/21,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,98,"11,817",-72.45%,"2,767,018","96,847","22,718,394",20200302,3,17348.0,"17,348"
美國,1917,2020/01/30,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,68,"5,649",-64.92%,"1,459,767","292,829","71,954,163",20200302,3,10759.0,"10,759"
南韓,明明會說話,2020/03/06,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,LittleBig Pictures,77,"7,705",-22.66%,"1,703,767","17,667","3,911,967",20200309,3,10322.0,"10,322"
美國,猛禽小隊: 小丑女大解放,2020/02/06,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,92,"7,246",-72.95%,"1,703,830","467,016","111,702,321",20200302,3,9771.0,"9,771"
日本,劇場版 不起眼女主角培育法 Fine,2020/03/13,車庫娛樂股份有限公司,ANIPLEX INC.,20,"5,596",-39.70%,"1,358,585","14,876","3,626,741",20200316,3,9248.0,"9,248"
日本,哥布林殺手：GOBLIN'S CROWN,2020/02/27,木棉花國際股份有限公司,Hakuhodo DY music & pictures Inc.,31,"5,492",-64.31%,"1,301,543","20,881","4,952,498",20200302,3,7949.0,"7,949"
南韓,"超""人""氣動物園",2020/02/14,車庫娛樂股份有限公司,"FINECUT CO., LTD.",51,"5,572",-75.42%,"1,321,265","137,112","31,976,641",20200302,3,7867.0,"7,867"
美國,刺激1995,2020/03/13,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,22,"7,518",11.26%,"1,818,904","14,275","3,497,489",20200316,3,7518.0,"7,518"
美國,託陰2：布拉姆回來了,2020/03/27,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX Productions, LLC",89,"7,060",-10.13%,"1,602,866","14,916","3,396,863",20200330,3,7060.0,"7,060"
美國,鋼鐵勳章,2020/03/13,采昌國際多媒體股份有限公司,Freeway Entertainment Kft,55,"5,004",-2.93%,"1,114,114","10,271","2,314,963",20200316,3,6824.0,"6,824"
南韓,抓住救命稻草的野獸們,2020/03/27,薩摩亞商雄讚股份有限公司台灣分公司,M-Line Distribution Corportation,75,"6,251",4.57%,"1,400,644","12,229","2,735,628",20200330,3,6251.0,"6,251"
美國,絕命直播,2020/03/27,香港商甲上娛樂有限公司台灣分公司,"Live Movie, LLC",81,"6,083",-18.51%,"1,387,926","13,548","3,078,585",20200330,3,6083.0,"6,083"
日本,Re：從零開始的異世界生活-外傳篇章電影,2020/03/27,木棉花國際股份有限公司,"KADOKAWA SHOTEN CO., LTD.",18,"4,915",-12.11%,"1,092,803","10,507","2,337,182",20200330,3,4915.0,"4,915"
