國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month,tcnt,mcnt,月累計票房,月累積金額
美國,1/2的魔法,2020/05/22,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",89,"36,789",-25.22%,"8,601,359","117,966","27,656,110",20200601,6,138507.0,32457059.0,"138,507","32,457,059"
南韓,詭妹,2020/06/05,車庫娛樂股份有限公司,RELAY MOTION KFT.,52,"12,651",46.44%,"3,013,603","21,290","5,073,317",20200608,6,26922.0,6448434.0,"26,922","6,448,434"
美國,明信片謀殺案,2020/06/19,香港商甲上娛樂有限公司台灣分公司,"CAPSTONE GROUP, LLC##GFC POSTCARDS, INC.",76,"14,522",26.16%,"3,358,710","26,033","6,017,131",20200622,6,20340.0,4714767.0,"20,340","4,714,767"
泰國,淒厲人僧,2020/06/05,威視股份有限公司,FIVE STAR PRODUCTION COMPANY LIMITED,56,"10,228",0.27%,"2,334,872","20,428","4,669,785",20200608,6,19532.0,4476552.0,"19,532","4,476,552"
美國,72小時前哨救援,2020/06/24,海樂影業股份有限公司,"MILLENNIUM MEDIA, INC.",79,"18,710",-45.81%,"4,300,362","53,237","12,248,645",20200629,6,18710.0,4300362.0,"18,710","4,300,362"
美國,深海擴散,2020/06/12,光年映畫有限公司,"Epic Pictures Group, Inc.",65,"8,905",-1.37%,"1,960,322","17,934","3,953,596",20200615,6,15702.0,3454776.0,"15,702","3,454,776"
日本,數碼寶貝 LAST EVOLUTION 絆,2020/04/24,曼迪傳播有限公司,"TOEI ANIMATION CO., LTD.",16,"4,690",-42.61%,"1,198,732","94,040","23,967,697",20200601,6,12032.0,3061224.0,"12,032","3,061,224"
美國,天后小助理,2020/06/24,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,84,"10,724",-25.95%,"2,490,276","25,207","5,837,863",20200629,6,10724.0,2490276.0,"10,724","2,490,276"
美國,黑暗騎士,2020/05/29,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,72,"8,384",14.91%,"2,399,063","15,680","4,438,428",20200601,6,8384.0,2399063.0,"8,384","2,399,063"
俄羅斯,失控特工,2020/06/19,可樂藝術文創股份有限公司,Central Partnership Sales House,45,"6,233",13.87%,"1,449,770","11,707","2,719,155",20200622,6,7904.0,1842522.0,"7,904","1,842,522"
美國,火線獵殺令,2020/05/29,車庫娛樂股份有限公司,"HIGHLAND FILM GROUP, INC.",50,"4,871",-7.87%,"1,114,265","10,158","2,333,610",20200601,6,7143.0,1635167.0,"7,143","1,635,167"
日本,福島50英雄,2020/06/24,薩摩亞商雄讚股份有限公司台灣分公司,KADOKAWA CORPORATION,63,"5,831",-43.49%,"1,305,053","16,150","3,619,278",20200629,6,5831.0,1305053.0,"5,831","1,305,053"
英國,晚班,2020/06/12,威秀影城股份有限公司,CtrlMovie,3,"1,959",58.75%,"492,630","3,193","811,860",20200615,6,5804.0,1436190.0,"5,804","1,436,190"
美國,蝙蝠俠：開戰時刻,2020/05/29,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,72,"3,149",-7.41%,"825,264","6,550","1,721,477",20200601,6,4847.0,1282635.0,"4,847","1,282,635"
中華民國,驚夢49天,2020/06/24,原創娛樂股份有限公司,世華文化創意事業有限公司,30,"4,637",-58.20%,"1,056,474","15,906","3,614,399",20200629,6,4637.0,1056474.0,"4,637","1,056,474"
美國,銀翼殺手最終版,2020/06/12,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,60,"2,786",7.73%,"663,427","5,372","1,295,228",20200615,6,4510.0,1087766.0,"4,510","1,087,766"
日本,猛鬼樂園,2020/05/29,車庫娛樂股份有限公司,HAKUHODO DY MUSIC & PICTURES INC.,37,"2,712",-21.96%,"633,012","6,187","1,444,911",20200601,6,4473.0,1044300.0,"4,473","1,044,300"
日本,我的英雄學院劇場版：英雄新世紀,2020/04/01,薩摩亞商羚邦(亞洲)有限公司台灣分公司,"Toho Co., Ltd.",15,759,-4.53%,"187,173","61,184","14,964,796",20200601,6,3968.0,989190.0,"3,968","989,190"
德國,罪人的控訴,2020/05/29,海鵬影業有限公司,TELEPOOL GmbH,25,"2,214",2.36%,"494,958","4,377","985,656",20200601,6,3639.0,809729.0,"3,639","809,729"
加拿大,血疫,2020/06/19,車庫娛樂股份有限公司,"XYZ FILMS, LLC",34,"2,961",-19.23%,"701,037","6,627","1,558,866",20200622,6,3529.0,831717.0,"3,529","831,717"
