陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,不丹,不丹是教室,2020/07/10,海鵬影業有限公司,HX Investment (HK) Limited,15,"3,823","2,448.67%","835,236","3,973","863,736",20200713,7
1,不丹,不丹是教室,2020/07/10,海鵬影業有限公司,HX Investment (HK) Limited,16,"7,907",106.83%,"1,756,629","11,880","2,620,365",20200720,7
2,不丹,不丹是教室,2020/07/10,海鵬影業有限公司,HX Investment (HK) Limited,16,"6,878",-13.01%,"1,528,224","18,758","4,148,589",20200727,7
3,不丹,不丹是教室,2020/07/10,海鵬影業有限公司,HX Investment (HK) Limited,15,"4,168",-39.40%,"940,149","22,926","5,088,738",20200803,8
4,不丹,不丹是教室,2020/07/10,海鵬影業有限公司,HX Investment (HK) Limited,16,"3,547",-14.90%,"826,056","26,473","5,914,794",20200810,8
5,不丹,不丹是教室,2020/07/10,海鵬影業有限公司,HX Investment (HK) Limited,13,"2,458",-30.70%,"547,908","28,931","6,462,702",20200817,8
6,不丹,不丹是教室,2020/07/10,海鵬影業有限公司,HX Investment (HK) Limited,12,"1,675",-31.86%,"364,165","30,606","6,826,867",20200824,8
7,不丹,不丹是教室,2020/07/10,海鵬影業有限公司,HX Investment (HK) Limited,8,816,-51.28%,"176,176","31,422","7,003,043",20200831,8
8,不丹,不丹是教室,2020/7/10,海鵬影業有限公司,HX Investment (HK) Limited,8,508,-37.75%,"107,610","31,930","7,110,653",20200907,9
9,不丹,不丹是教室,2020/07/10,海鵬影業有限公司,HX Investment (HK) Limited,2,126,-75.20%,"28,558","32,056","7,139,211",20200914,9
10,不丹,不丹是教室,2020/07/10,海鵬影業有限公司,HX Investment (HK) Limited,3,298,136.51%,"65,850","32,354","7,205,061",20200921,9
11,不丹,不丹是教室,2020/07/10,海鵬影業有限公司,HX Investment (HK) Limited,1,86,-71.14%,"18,970","32,440","7,224,031",20200928,9
12,不丹,不丹是教室,2020/07/10,海鵬影業有限公司,HX Investment (HK) Limited,1,12,-86.05%,"2,795","32,452","7,226,826",20201005,10
13,不丹,不丹是教室,2020/07/10,海鵬影業有限公司,HX Investment (HK) Limited,1,304,"2,433.33%","65,360","32,756","7,292,186",20201012,10
14,不丹,不丹是教室,2020/07/10,海鵬影業有限公司,HX Investment (HK) Limited,2,588,0.00%,"62,565","33,344","7,354,751",20201109,11
15,不丹,不丹是教室,2020/07/10,海鵬影業有限公司,HX Investment (HK) Limited,1,545,-7.31%,"27,250","33,889","7,382,001",20201116,11
16,不丹,不丹是教室,2020/07/10,海鵬影業有限公司,HX Investment (HK) Limited,2,478,-12.29%,"29,170","34,367","7,411,171",20201123,11
17,不丹,不丹是教室,2020/07/10,海鵬影業有限公司,HX Investment (HK) Limited,1,364,-23.85%,"18,200","34,731","7,429,371",20201130,11
18,不丹,不丹是教室,2020/07/10,海鵬影業有限公司,HX Investment (HK) Limited,2,380,4.40%,"23,050","35,111","7,452,421",20201207,12
19,不丹,不丹是教室,2020/07/10,海鵬影業有限公司,HX Investment (HK) Limited,2,410,7.89%,"28,740","35,521","7,481,161",20201214,12
20,不丹,不丹是教室,2020/07/10,海鵬影業有限公司,HX Investment (HK) Limited,4,386,-5.85%,"41,200","35,907","7,522,361",20201221,12
21,不丹,不丹是教室,2020/07/10,海鵬影業有限公司,HX Investment (HK) Limited,2,93,-75.91%,"6,890","36,000","7,529,251",20201228,12
