國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week
日本,鬼滅之刃劇場版 無限列車篇,2020/10/30,木棉花國際股份有限公司,Aniplex Inc.,95,"657,115",33.67%,"157,767,910","2,486,321","275,413,022",20201102
美國,冰雪奇緣2,2019/11/21,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,27,0.00%,"2,970","1,454,118","343,891,878",20200706
南韓,屍速列車：感染半島,2020/07/15,車庫娛樂股份有限公司,CONTENTS PANDA,61,"457,166",-19.13%,"113,349,275","1,434,527","254,292,911",20200720
美國,TENET天能,2020/08/27,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,100,"390,297",12.63%,"98,333,935","1,385,099","185,426,805",20200831
美國,阿拉丁,2019/05/22,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",1,163,0.00%,"34,230","1,251,032","290,467,259",20200914
美國,羅根,2017/02/28,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,1,0,-100.00%,0,"942,291","221,791,155",20200706
美國,神力女超人1984,2020/12/17,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,99,"325,487",-15.15%,"82,694,938","889,907","180,233,819",20201221
中華民國,孤味,2020/11/06,彼此影業股份有限公司,彼此影業股份有限公司##秀泰國際娛樂有限公司##中環國際娛樂事業股份有限公司##Midori International Holdings Limited##威威巖娛樂製作有限公司,98,"123,483",103.56%,"28,532,249","812,953","46,606,100",20201109
香港,葉問4：完結篇,2019/12/19,華映娛樂股份有限公司,東方影業出品有限公司,1,28,-73.33%,"3,110","809,557","185,425,478",20200706
美國,馴龍高手3,2019/01/30,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,5,13,-23.53%,"2,730","715,774","166,750,558",20200706
日本,天氣之子,2019/09/12,車庫娛樂股份有限公司,"TOHO CO., LTD.",10,282,-40.38%,"83,817","704,809","168,595,265",20200706
美國,猛禽小隊: 小丑女大解放,2020/02/06,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,2,130,-2.26%,"14,690","472,279","112,506,792",20200706
中華民國,刻在你心底的名字,2020/09/30,氧氣電影有限公司,滿滿額娛樂股份有限公司##氧氣電影有限公司##百聿數碼創意股份有限公司##中環國際娛樂事業股份有限公司##三皇生物科技股份有限公司,103,"99,578",-1.85%,"23,295,073","439,345","53,224,107",20201005
美國,魔物獵人,2020/12/04,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,97,"143,988",-15.15%,"34,367,173","414,016","75,304,340",20201207
美國,大娛樂家,2017/12/20,美商廿世紀福斯影片股份有限公司台灣分公司,(美國)TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,34,299,-76.46%,"72,847","398,531","92,627,073",20200706
美國,天劫倒數,2020/08/12,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX Productions, LLC",82,"127,101",-5.93%,"30,675,498","366,897","63,320,795",20200817
日本,角落小夥伴電影版：魔法繪本裡的新朋友,2020/07/03,威視股份有限公司,"ASMIK ACE, INC.",63,"74,151","8,931.79%","17,602,936","344,057","17,827,145",20200706
中華民國,可不可以，你也剛好喜歡我,2020/03/12,華映娛樂股份有限公司,華映娛樂股份有限公司##中環國際娛樂事業股份有限公司##星泰國際娛樂股份有限公司##樂到家國際娛樂股份有限公司##新線索(北京)影視投資有限公司##艾迪昇傳播事業有限公司##滿滿額娛樂股份有限公司##百聿數碼創意股份有限公司##馬棋朵數位影像製作有限公司,1,148,0.00%,"32,560","341,932","87,280",20200727
中華民國,馗降：粽邪2,2020/08/20,華影國際影藝有限公司,華影國際影藝有限公司##麻吉砥加電影有限公司##滿滿額娛樂股份有限公司##聯聯看娛樂文化股份有限公司##識富天使會,1,250,-24.24%,"47,500","319,042","120,100",20200824
美國,賽道狂人,2019/11/26,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,40,0.00%,"19,600","318,617","77,746,258",20200914
美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,1,40,0.00%,"4,530","318,122","75,950,267",20200803
美國,花木蘭,2020/9/4,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",100,"101,626",-29.57%,"23,666,027","312,912","57,415,022",20200907
美國,1917,2020/01/30,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,1,32,0.00%,"3,520","304,063","74,481,298",20200727
