序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week
1,英國,雷曼兄弟三部曲,2020/07/05,威秀影城股份有限公司,ROYAL NATIONAL THEATRE,1,91,810.00%,"64,280",101,"71,080",20200706
2,英國,彗星美人,2020/07/04,威秀影城股份有限公司,ROYAL NATIONAL THEATRE,1,28,366.67%,"18,680",34,"22,760",20200706
3,日本,角落小夥伴電影版：魔法繪本裡的新朋友,2020/07/03,威視股份有限公司,"ASMIK ACE, INC.",63,"74,151","8,931.79%","17,602,936","74,972","17,827,145",20200706
4,中華民國,破處,2020/07/03,立正站好思維創意有限公司,展邁核創股份有限公司##立正站好思維創意有限公司##中環國際娛樂事業股份有限公司##BNB拔尼布無限工作坊,89,"20,328",-41.98%,"4,627,956","55,365","10,006,229",20200706
5,美國,戰爭中的鬼故事,2020/07/03,采昌國際多媒體股份有限公司,Atrium Productions Kft.,70,"19,281",58.63%,"4,544,994","31,436","7,399,428",20200706
6,泰國,鬼侍女,2020/07/03,海樂影業股份有限公司,"Hollywood (Thailand) Co.,Ltd",57,"8,967",20.48%,"2,012,304","16,410","3,692,211",20200706
7,香港,死因無可疑,2020/07/03,華映娛樂股份有限公司,英皇影業有限公司,47,"5,717",6.74%,"1,330,922","11,073","2,578,718",20200706
8,日本,賭博默示錄：最終遊戲,2020/07/03,車庫娛樂股份有限公司,NIPPON TELEVISION NETWORK CORPORATION,18,"3,964",12.55%,"947,573","7,486","1,799,662",20200706
9,印尼,人皮咒,2020/07/03,車庫娛樂股份有限公司,RELAY MOTION KFT.,35,"3,563",8.00%,"824,765","6,862","1,599,994",20200706
10,美國,我的A級秘密,2020/07/03,車庫娛樂股份有限公司,EMBANKMENT FILMS LIMITED,42,"2,282",-15.67%,"530,678","4,988","1,165,791",20200706
11,巴西,被遺忘的人生,2020/07/03,海鵬影業有限公司,The Match Factory GmbH,17,"1,484",11.66%,"308,453","2,813","588,891",20200706
12,智利,犬犬風塵,2020/07/03,繁盛映畫有限公司,CAT & Docs,14,"1,191",203.05%,"251,097","1,584","342,041",20200706
13,法國,超能西蒙的奇幻旅程,2020/07/03,本萃電影有限公司,PULSAR CONTENT SAS,17,634,18.50%,"145,557","1,169","273,442",20200706
14,美國,頭號粉絲,2020/07/03,天馬行空數位有限公司,VMI Worldwide,16,567,-10.14%,"126,894","1,198","270,674",20200706
15,日本,遇見世界上另一個你,2020/07/03,車庫娛樂股份有限公司,EVRIT CONSULTING KFT.,4,123,186.05%,"28,675",166,"38,865",20200706
