國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month,tmax,mmax
日本,鬼滅之刃劇場版 無限列車篇,2020/10/30,木棉花國際股份有限公司,Aniplex Inc.,95,"657,115",33.67%,"157,767,910","2,486,321","598,345,639",20201102,11,2486321.0,598345639.0
南韓,屍速列車：感染半島,2020/07/15,車庫娛樂股份有限公司,CONTENTS PANDA,61,"457,166",-19.13%,"113,349,275","1,434,527","356,348,484",20200720,7,1434527.0,356348484.0
美國,TENET天能,2020/08/27,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,100,"390,297",12.63%,"98,333,935","1,385,099","349,560,559",20200831,8,1385099.0,349560559.0
美國,神力女超人1984,2020/12/17,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,99,"325,487",-15.15%,"82,694,938","889,907","226,105,230",20201221,12,889907.0,226105230.0
中華民國,孤味,2020/11/06,彼此影業股份有限公司,彼此影業股份有限公司##秀泰國際娛樂有限公司##中環國際娛樂事業股份有限公司##Midori International Holdings Limited##威威巖娛樂製作有限公司,100,"123,483",103.56%,"28,532,249","812,953","188,029,518",20201109,11,812953.0,188029518.0
美國,絕地戰警FOR LIFE,2020/01/16,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,101,"182,000",0.65%,"43,755,249","574,657","136,881,045",20200120,1,574657.0,136881045.0
美國,猛禽小隊: 小丑女大解放,2020/02/06,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,99,"9,471",-17.46%,"2,269,458","472,279","112,521,772",20200210,2,472279.0,112521772.0
中華民國,刻在你心底的名字,2020/09/30,氧氣電影有限公司,滿滿額娛樂股份有限公司##氧氣電影有限公司##百聿數碼創意股份有限公司##中環國際娛樂事業股份有限公司##三皇生物科技股份有限公司,103,"99,578",-1.85%,"23,295,073","439,345","103,200,596",20201005,10,439345.0,103200596.0
美國,魔物獵人,2020/12/04,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,98,"143,988",-15.15%,"34,367,173","414,016","98,555,760",20201207,12,414016.0,98555760.0
美國,天劫倒數,2020/08/12,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX Productions, LLC",84,"127,101",-5.93%,"30,675,498","366,897","87,611,727",20200817,8,366897.0,87611727.0
日本,角落小夥伴電影版：魔法繪本裡的新朋友,2020/07/03,威視股份有限公司,"ASMIK ACE, INC.",64,"74,151","8,931.79%","17,602,936","344,057","80,228,661",20200706,7,344057.0,80228661.0
中華民國,可不可以，你也剛好喜歡我,2020/03/12,華映娛樂股份有限公司,華映娛樂股份有限公司##中環國際娛樂事業股份有限公司##星泰國際娛樂股份有限公司##樂到家國際娛樂股份有限公司##新線索(北京)影視投資有限公司##艾迪昇傳播事業有限公司##滿滿額娛樂股份有限公司##百聿數碼創意股份有限公司##馬棋朵數位影像製作有限公司,101,148,0.00%,"32,560","341,932","79,222,529",20200727,7,341932.0,79222529.0
中華民國,馗降：粽邪2,2020/08/20,華影國際影藝有限公司,華影國際影藝有限公司##麻吉砥加電影有限公司##滿滿額娛樂股份有限公司##聯聯看娛樂文化股份有限公司##識富天使會,100,250,-24.24%,"47,500","319,042","72,143,225",20200824,8,319042.0,72143225.0
美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,101,"141,378",27.42%,"33,995,357","318,122","75,963,417",20200127,1,318122.0,75963417.0
美國,花木蘭,2020/09/04,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",100,"35,242",-65.32%,"8,199,963","312,912","72,351,100",20200914,9,312912.0,72351100.0
美國,1917,2020/01/30,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,99,"87,858",11.05%,"21,348,303","304,063","74,499,228",20200203,2,304063.0,74499228.0
美國,1/2的魔法,2020/05/22,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",89,"49,196",53.83%,"11,525,784","274,712","63,218,919",20200525,5,274712.0,63218919.0
美國,血衛,2020/03/12,薩摩亞商雄讚股份有限公司台灣分公司,"Bona Film Investment Company (Pacific RIM, USA)",99,"75,727",-42.99%,"18,052,155","265,102","62,391,061",20200316,3,265102.0,62391061.0
美國,靈魂急轉彎,2020/12/25,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",97,"178,697",107.37%,"42,907,723","264,869","63,564,768",20201228,12,264869.0,63564768.0
中華民國,女鬼橋,2020/02/27,星泰國際娛樂股份有限公司,樂到家國際娛樂股份有限公司##天馬傳播事業有限公司##得藝文創國際股份有限公司##大慕影藝國際事業股份有限公司##氧氣電影有限公司##華映娛樂股份有限公司##海樂影業股份有限公司,86,"77,840",-21.42%,"18,004,134","253,481","58,119,430",20200302,3,253481.0,58119430.0
美國,隱形人,2020/02/27,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,98,"76,259",2.46%,"18,178,435","222,897","52,563,222",20200302,3,222897.0,52563222.0
中華民國,無聲,2020/10/15,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,財團法人公共電視文化事業基金會##氧氣電影有限公司##滿滿額娛樂股份有限公司##畢業生有限公司##英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,59,"55,660",72.63%,"13,207,954","209,779","49,898,035",20201019,10,209779.0,49898035.0
中華民國,打噴嚏,2020/07/14,禾豐九路娛樂有限公司,禾豐九路娛樂有限公司##群星瑞智國際藝能股份有限公司##天下一電影製作有限公司,96,"69,172",-7.99%,"16,022,044","204,914","47,074,458",20200720,7,204914.0,47074458.0
美國,倒數反擊,2020/10/08,威視股份有限公司,"Honest Thief Productions, LLC",95,"60,237",-34.02%,"14,185,016","200,912","47,106,143",20201012,10,200912.0,47106143.0
中華民國,怪胎,2020/08/05,牽猴子整合行銷股份有限公司,牽猴子整合行銷股份有限公司##滿滿額娛樂股份有限公司##台灣大哥大股份有限公司,99,"56,876",144.93%,"13,209,688","195,349","45,122,061",20200810,8,195349.0,45122061.0
中華民國,同學麥娜絲,2020/11/20,甜蜜生活製作有限公司,甜蜜生活製作有限公司##華文創股份有限公司,75,"68,507",54.81%,"15,941,263","190,173","44,390,789",20201123,11,190173.0,44390789.0
美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",98,"77,843",11.35%,"17,787,206","181,947","41,440,597",20200127,1,181947.0,41440597.0
